"Descriptions:","Unit:","Multiplier:","Currency:","Unique Identifier:","Series Name:",1945Q4,1946Q1,1946Q2,1946Q3,1946Q4,1947Q1,1947Q2,1947Q3,1947Q4,1948Q1,1948Q2,1948Q3,1948Q4,1949Q1,1949Q2,1949Q3,1949Q4,1950Q1,1950Q2,1950Q3,1950Q4,1951Q1,1951Q2,1951Q3,1951Q4,1952Q1,1952Q2,1952Q3,1952Q4,1953Q1,1953Q2,1953Q3,1953Q4,1954Q1,1954Q2,1954Q3,1954Q4,1955Q1,1955Q2,1955Q3,1955Q4,1956Q1,1956Q2,1956Q3,1956Q4,1957Q1,1957Q2,1957Q3,1957Q4,1958Q1,1958Q2,1958Q3,1958Q4,1959Q1,1959Q2,1959Q3,1959Q4,1960Q1,1960Q2,1960Q3,1960Q4,1961Q1,1961Q2,1961Q3,1961Q4,1962Q1,1962Q2,1962Q3,1962Q4,1963Q1,1963Q2,1963Q3,1963Q4,1964Q1,1964Q2,1964Q3,1964Q4,1965Q1,1965Q2,1965Q3,1965Q4,1966Q1,1966Q2,1966Q3,1966Q4,1967Q1,1967Q2,1967Q3,1967Q4,1968Q1,1968Q2,1968Q3,1968Q4,1969Q1,1969Q2,1969Q3,1969Q4,1970Q1,1970Q2,1970Q3,1970Q4,1971Q1,1971Q2,1971Q3,1971Q4,1972Q1,1972Q2,1972Q3,1972Q4,1973Q1,1973Q2,1973Q3,1973Q4,1974Q1,1974Q2,1974Q3,1974Q4,1975Q1,1975Q2,1975Q3,1975Q4,1976Q1,1976Q2,1976Q3,1976Q4,1977Q1,1977Q2,1977Q3,1977Q4,1978Q1,1978Q2,1978Q3,1978Q4,1979Q1,1979Q2,1979Q3,1979Q4,1980Q1,1980Q2,1980Q3,1980Q4,1981Q1,1981Q2,1981Q3,1981Q4,1982Q1,1982Q2,1982Q3,1982Q4,1983Q1,1983Q2,1983Q3,1983Q4,1984Q1,1984Q2,1984Q3,1984Q4,1985Q1,1985Q2,1985Q3,1985Q4,1986Q1,1986Q2,1986Q3,1986Q4,1987Q1,1987Q2,1987Q3,1987Q4,1988Q1,1988Q2,1988Q3,1988Q4,1989Q1,1989Q2,1989Q3,1989Q4,1990Q1,1990Q2,1990Q3,1990Q4,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2
"Security brokers and dealers; depository institution loans n.e.c.; liability ","Currency","1000000","USD",Z1/Z1/FL663168005.Q,FL663168005.Q,3282,ND,ND,ND,1633,ND,ND,ND,922,ND,ND,ND,1414,ND,ND,ND,1886,ND,ND,ND,1989,ND,ND,ND,1788,1508,2397,1751,2342,1903,2098,2344,2737,2232,2951,3090,3430,3122,3454,3236,3847,3309,3380,3058,3276,2673,2982,3035,3393,3298,4488,2976,3692,2917,3119,3301,5245,4404,4915,5280,5334,5139,5236,5935,6996,6640,5825,6189,7930,7333,7726,8454,8885,6993,9232,8260,9200,8298,9651,7489,9047,8123,9160,7300,9641,8905,8406,9481,10586,9950,9240,10250,11321,10750,10238,10350,10522,9450,8302,9450,10589,10250,9897,10750,11702,12550,13345,14950,16793,14510,12560,12257,12502,10937,9715,9550,9717,9504,9530,10415,11312,10432,12156,13107,15961,14526,15006,16722,18445,15761,16940,16933,15824,13763,16174,15037,14805,13122,13170,11162,13265,11508,14746,13861,16020,10828,11805,13275,14575,13760,17540,15455,18460,17688,17641,17880,21692,19567,24395,25835,29462,28838,29035,23580,24261,21884,22760,25253,19116,20744,18955,18193,19084,19626,22052,23002,21011,20113,19180,18495,15885,16642,19038,18954,22136,21357,21645,22725,25380,23131,27947,29237,32473,34081,29090,25317,27301,24412,29068,29991,27783,29114,27051,25665,30740,31966,32341,33447,33883,36812,37895,31843,31107,29102,32279,28690,33410,36281,33906,35157,33114,32119,33312,35736,28281,28848,31168,26158,22265,27333,34134,29357,28518,33296,30429,33284,30157,31136,32350,33352,37379,44373,45198,45772,48460,49888,50613,56089,52453,94008,43479,257206,85291,58456,39092,29859,32001,31840,30716,32083,38247,38545,48335,66003,69234,77312,74969,74628,70099,80132,70913,79458,78803,87317,87569,89491,92166,93806,96478,91265,93934,93227,102384,106768,106022,108637,113473,120678,120154,122685,125327,115931,124309,121783,123370,125741,122043,184614,124450,118748,132254,139412,151993,165349,171295,168311,177202,177739,180411,176706,162654,172304,179520,178990,154036
"Security brokers and dealers; payables to customer and noncustomers (free credit, margin deposits, and other payables); liability","Currency","1000000","USD",Z1/Z1/FL663167005.Q,FL663167005.Q,694,ND,ND,ND,733,ND,ND,ND,660,ND,ND,ND,654,ND,ND,ND,702,ND,ND,ND,971,ND,ND,ND,893,748,695,677,714,737,639,663,708,786,833,919,1020,1023,913,985,899,972,835,867,882,815,814,833,894,951,1045,1116,1156,1272,1118,1031,-358,-721,-897,-540,48,-607,83,-602,-740,-1100,-450,-338,-864,-1464,-908,-994,-1146,-153,-1377,-573,-823,-756,-678,-548,-310,-644,-305,-53,-65,762,1299,1576,2159,1569,3722,5153,4878,1483,3271,213,2651,1482,1354,1762,3564,2478,2279,1507,3597,2096,2326,612,2709,309,1416,648,3573,1080,3135,3044,3433,2782,3586,1519,4722,4797,3881,3165,7424,1431,2271,-282,5344,1906,3598,5066,11147,4274,6651,8476,14399,8741,12065,16096,22221,14626,13063,12289,18359,14104,17173,17554,23313,17947,18856,19773,22573,18812,18757,20638,27897,23530,32068,29522,49768,52392,46306,49510,58997,54184,52488,53155,41088,42938,45369,45082,45072,46446,52363,44210,55265,50720,52388,55360,64851,63362,61121,72634,95461,78454,86900,86849,85548,101060,112525,109658,112311,116793,115032,115420,115745,120958,123227,125513,145390,155998,153219,152412,189937,181262,199069,201954,219822,245286,259920,299141,292339,287661,288543,307264,349661,408173,392297,412046,460738,448261,454086,545609,502146,487428,451834,446064,441850,454114,553576,539686,521075,558740,582764,570750,635200,622686,632648,626156,623442,651613,692342,701010,700775,741776,805502,804666,917153,1023522,1005748,987706,744147,663956,675333,702470,701601,700637,704072,717010,725527,731560,778074,787191,725209,723818,743129,751185,758395,741889,798861,790951,817953,865249,866638,892442,869517,870264,842207,843378,818574,858432,862299,835488,814405,832834,830911,805775,760694,762096,755298,760487,758194,750303,757643,788850,783944,929372,909224,876844,904756,924688,945253,995265,1010800,1143435,1087388,1025050,958288,925909,925420,864458,882678,886877,887367
"Security brokers and dealers; foreign direct investment in U.S.: intercompany debt, adjusted for U.S. Intermediate Holding Companies; liability (market value)","Currency","1000000","USD",Z1/Z1/LM663192305.Q,LM663192305.Q,35,ND,ND,ND,36,ND,ND,ND,37,ND,ND,ND,36,ND,ND,ND,37,ND,ND,ND,35,ND,ND,ND,35,35,36,36,37,37,38,39,37,38,39,40,43,44,45,46,47,48,48,49,46,47,48,49,49,49,49,49,48,48,49,49,49,50,52,53,51,53,53,54,59,60,61,62,54,54,54,54,57,57,57,57,61,62,60,58,58,57,58,59,52,52,51,51,52,52,52,54,53,53,54,54,40,40,40,40,35,36,37,39,46,47,48,48,59,54,50,49,52,49,62,75,108,111,114,117,121,121,130,139,157,168,181,193,202,204,206,207,203,187,204,221,265,274,283,349,183,169,181,193,221,181,232,299,298,324,352,385,393,440,504,516,654,594,598,602,690,730,750,762,690,1005,1150,1351,650,754,374,781,970,979,1097,1043,1428,1429,1461,1454,808,1037,1179,1188,1152,1163,1206,1188,1055,1784,2602,3444,5675,5643,5675,5715,2976,2950,3038,3098,3401,3649,3794,3864,4089,4502,4838,4969,6311,6348,6460,6564,6644,7300,7037,7449,8987,9105,9246,10430,11890,12841,13185,13718,13758,13662,12775,12051,7932,7732,7740,7349,6952,6826,6335,6308,7639,7485,6723,7006,7260,7205,7832,8489,9593,9875,9938,9991,10452,10540,10888,12777,11951,10277,10447,10329,10393,12580,12544,12740,14720,15224,16053,17102,17448,16479,16294,16665,16568,17119,17514,18074,18496,19388,20254,22144,23019,23424,24465,24059,24749,24524,25352,9781,11586,10330,11275,11077,13002,11607,10400,9885,8444,10141,11411,12668,14024,11600,13556,14412,14598,14924,14535,15280,15632,14435,13681,14395,15047,14839,15143,14418,14642,15532,14956
"Security brokers and dealers; trade payables; liability","Currency","1000000","USD",Z1/Z1/FL663170003.Q,FL663170003.Q,10,ND,ND,ND,25,ND,ND,ND,40,ND,ND,ND,50,ND,ND,ND,65,ND,ND,ND,80,ND,ND,ND,90,100,100,140,150,160,170,180,180,190,190,200,200,200,200,200,210,220,230,230,230,240,240,240,250,250,250,260,260,270,270,280,280,290,290,290,290,300,300,300,300,310,310,320,320,325,325,330,330,340,340,350,350,360,360,370,370,380,390,400,410,420,430,440,450,460,480,500,510,520,540,560,580,590,600,600,610,620,630,650,670,690,710,730,750,760,770,780,790,810,830,850,870,890,910,930,950,970,990,1010,1030,1050,1070,1090,1100,1120,1140,1160,1190,1240,1270,1300,1340,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2450,2600,2692,3221,3083,5086,4027,4133,4727,5465,4199,5280,5699,7998,6745,7294,7077,7632,8787,8424,8892,6828,8300,9413,9012,8548,8463,8532,8216,8005,6095,5866,5720,6103,5774,6469,6202,6785,6002,6432,6554,7389,8101,9931,10437,10069,12256,9989,10257,9149,9021,9330,9997,10261,11613,13026,14461,14282,17663,16356,23629,19938,19532,20869,21782,18932,19429,31539,30022,30859,33766,39405,35912,35915,35339,33321,36136,39211,36347,30582,31767,37418,28501,35253,32468,28218,34599,32077,34236,36040,34972,35049,45227,43079,35902,48938,43328,48279,51652,65473,62129,45842,43494,39087,34362,21167,47794,54513,66910,70062,62213,51991,55073,18072,18386,19234,16304,14262,17316,13480,12988,14227,15380,15637,13324,14540,14779,17764,19862,17906,19168,23602,24192,26298,25275,26898,31438,36667,35265,32156,34556,44568,42898,38037,33899,16787,14911,15024,15484,15777,20135,17807,16729,18542,19683,15913,17564,22437,21930,19262,19586,20028,19109,22799,21440,18456,21266,19004
"Security brokers and dealers; taxes payable; liability","Currency","1000000","USD",Z1/Z1/FL663178003.Q,FL663178003.Q,10,ND,ND,ND,13,ND,ND,ND,6,ND,ND,ND,5,ND,ND,ND,8,ND,ND,ND,12,ND,ND,ND,10,14,16,17,20,14,10,11,21,13,22,29,22,19,15,20,26,17,13,17,18,19,16,19,25,22,24,30,33,38,35,46,50,36,33,39,48,67,61,71,63,66,38,33,28,40,40,52,57,56,50,58,60,67,64,82,93,101,84,92,95,133,109,145,151,201,194,225,199,209,144,163,147,119,108,135,150,160,120,130,140,150,123,151,165,180,144,156,153,140,82,68,45,61,15,52,80,297,199,185,208,153,129,121,119,96,157,235,187,186,185,206,208,239,373,497,483,419,374,334,324,263,263,406,643,649,520,494,486,410,266,431,428,482,566,624,773,654,643,638,932,956,658,550,394,459,489,507,543,412,543,703,606,645,696,688,664,568,605,687,850,877,908,979,888,1091,1067,1447,1401,1428,1353,1409,1195,1047,1072,1348,1117,1063,1196,1079,1264,1040,889,1110,1345,1085,1095,793,1264,1289,1385,1498,2180,2423,1719,1772,2096,1208,1320,1447,1890,1911,1632,1615,1347,1634,1929,1985,1751,1920,2034,2333,2195,2608,1254,1794,2080,2566,2812,3269,2805,3548,3483,3469,2186,2043,2617,2538,2485,2681,4500,6248,5719,4384,4360,6368,3648,4228,4340,3689,2533,2989,2846,3676,3080,4421,4437,4599,3723,4521,5141,5412,4049,4873,4247,4078,3223,4073,3507,4041,3285,3917,4079,4781,2349,2645,3173,3750,3785,4446,5169,4897,3254,4585,6709,6403,6278,7067,7738,8833,6773,6401,6946,6717,3878,4383,5023,5279,3984,4999,5516
"Security brokers and dealers; total miscellaneous liabilities","Currency","1000000","USD",Z1/Z1/FL663190005.Q,FL663190005.Q,984,ND,ND,ND,975,ND,ND,ND,959,ND,ND,ND,950,ND,ND,ND,934,ND,ND,ND,921,ND,ND,ND,911,901,900,860,849,839,828,817,819,808,807,796,793,792,791,790,779,768,758,757,760,749,748,747,737,737,737,727,728,717,715,705,707,696,694,694,695,682,680,680,677,666,666,654,662,656,657,652,649,639,640,631,625,614,615,608,608,598,589,578,574,569,560,548,534,518,499,481,474,468,446,427,417,408,398,397,392,379,366,343,321,730,1144,1571,1978,2154,2334,2531,2743,2962,3164,3376,3595,3321,3082,2955,2820,5953,6165,5932,6180,6579,8222,7796,6018,7325,8503,9593,9520,8403,9846,11688,12692,11322,14522,16433,20352,17342,20168,18526,22043,18077,20055,28365,24144,31831,36961,38749,38322,35783,39274,42212,42293,49152,51568,53955,80175,79140,83763,80818,82320,93068,87823,99824,84712,80348,94211,84169,90704,92555,100045,103902,89454,98613,100815,88673,84477,93922,98683,101562,108458,116001,128796,146990,123223,146343,145409,163463,165724,188384,189215,193910,196654,221059,198942,220247,229723,272479,262797,299368,311048,387749,397230,441020,401611,600408,581342,551831,504194,582224,602402,563834,610037,794351,764230,744314,653245,684135,783794,775114,888963,917019,804795,775416,732064,917961,1094800,1062908,1083511,1179290,1287929,1327068,1457490,1517669,1489786,1511811,1488137,1733336,1680989,1752617,1828295,2116065,2330935,2129852,1965958,1850288,1616530,1489813,834800,859898,911097,961975,974234,1036866,973645,1009094,1008884,1102553,1127074,996126,969232,1078955,1006313,1055633,1022271,1133852,1000617,995888,1046419,1078611,1117354,1067619,1041400,1052194,1001747,947669,921312,890619,901933,905543,846788,867879,900168,900997,831793,882769,893440,903018,794742,845234,830498,820767,841532,740888,808773,855682,895650,1088911,1110766,1126790,1068442,1155446,1069010,1063283,1043082,1112722,1107744,1083497,1122618,1197213,1137794
"Security brokers and dealers; payables owed to other brokers and dealers and clearing organizations; liability","Currency","1000000","USD",Z1/Z1/FL663170605.Q,FL663170605.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,500,750,1000,1250,1500,1750,2000,2250,2500,2750,3000,3250,3500,3750,4000,3937,3842,3837,4660,4519,5529,5488,5499,5055,5859,6249,5719,5307,6281,7372,8147,6731,9746,10869,12951,11653,13620,11592,13860,11788,13004,20878,22977,22267,24799,28679,24479,24340,27017,28499,27025,31510,36452,35835,57730,55975,54290,53557,53503,66324,60604,69844,49128,51490,63400,55689,54514,62072,66459,83963,61977,64467,63704,55579,51518,59446,62696,66028,73857,77797,87572,103387,77412,107443,95962,109374,109033,128204,131259,132643,136449,163440,138945,157359,158840,205833,195410,217397,213819,293492,300262,331572,285274,402751,412156,379838,345126,443792,449581,408306,449404,629613,585161,564355,496547,538739,551401,561277,595091,639162,539264,504622,511842,680219,842830,814957,826043,909794,982405,1018022,1129813,1202376,1153114,1151268,1135904,1367079,1278760,1329521,1376819,1619813,1747556,1605851,1483490,1376885,1145518,1118564,533111,556304,568516,597940,598517,646158,615522,632561,629809,735372,746583,656686,610490,696100,660669,702450,671361,760438,652439,635355,656136,685098,727394,698820,675181,680223,624340,578056,554378,544392,554993,521634,448129,484275,501763,515970,475763,526104,528145,517380,452932,482931,477779,473979,473517,466819,492512,517163,522686,683721,694665,739693,656935,728767,660919,643153,624178,670067,668026,644662,684259,739912,694405
"Security brokers and dealers; other investment by holding company parent; liability","Currency","1000000","USD",Z1/Z1/FL663194705.Q,FL663194705.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,985,3507,3697,4687,4931,5941,6110,7010,7345,4908,4517,4773,4742,4568,4490,4574,4878,4884,5530,6134,3392,3434,3647,5236,6422,4888,3286,5458,5154,5520,7261,9327,13238,19437,19954,23906,31205,22750,21718,24502,24742,25259,26265,29422,32770,26108,26872,28706,26677,20254,24527,16084,6615,6398,9246,10611,8023,16775,19954,32330,34124,35028,39227,37062,40186,44638,47224,44724,42219,35471,34284,35091,31794,29446,27880,27663,24679,27206,23386,15780,17881,16904,25392,24641,20904,20988,24462,26291,28260,29097,27624,29012,27044,25798,25041,17215,23751,24960,38245,40759,58256,65027,59343,64607,72426,53572,18574,-93,6221,5429,6106,5526,9744,10876,-19225,-113,-15098,-26327,-37510,-39834,-46137,-42563,-41106,-43487,-68758,-72255,-84629,-14334,-9158,5064,-14135,-12837,-6927,-11372,3886,-57780,-59678,-32186,-21559,-14682,48173,55727,88429,455096,475795,428086,403605,408654,410303,432398,450644,450948,403661,389784,430371,473076,443110,563046,684301,734957,760002,711597,660163,652117,670888,661741,638943,630421,680662,638081,581204,601049,570876,703771,701080,601991,594184,609054,641712,628413,601761,619365,584500,624626,629669,613404,613138,661725,628625,632786,662822,650436,686239,695881,712700,756215,709446,685564,805745,821908,816374,835020,833669,846397,853322
"Security brokers and dealers; unidentified miscellaneous liabilities","Currency","1000000","USD",Z1/Z1/FL663193005.Q,FL663193005.Q,984,ND,ND,ND,975,ND,ND,ND,959,ND,ND,ND,950,ND,ND,ND,934,ND,ND,ND,921,ND,ND,ND,911,901,900,860,849,839,828,817,819,808,807,796,793,792,791,790,779,768,758,757,760,749,748,747,737,737,737,727,728,717,715,705,707,696,694,694,695,682,680,680,677,666,666,654,662,656,657,652,649,639,640,631,625,614,615,608,608,598,589,578,574,569,560,548,534,518,499,481,474,468,446,427,417,408,398,397,392,379,366,343,321,480,644,821,978,89,-151,-2726,-2954,-3975,-4267,-5315,-5515,-6939,-7763,-5703,-5697,-2757,-2419,-2473,-2970,-2514,-2185,-2576,-5011,-3864,-748,-90,154,-2140,-2857,-572,1259,-867,-378,44,140,-3638,-6690,-12503,-11771,-17617,-24154,-15263,-20551,-14938,-12580,-15189,-12422,-17979,-20513,-12395,-11604,-11064,-11561,-2134,-2082,7081,22858,20863,19571,16133,19196,13205,15630,-3472,-3313,-6548,-3037,-6579,-6600,-24699,-19747,-10578,-5108,-2377,-1325,-615,4193,6088,6721,10541,16545,16397,22425,23120,31566,37185,31299,35539,37052,40279,35743,31328,31737,33791,43259,37634,40343,56173,72188,77042,73217,84488,78092,156898,110930,106966,99725,73825,80395,101956,142059,164831,172848,174530,150592,139870,222649,202961,313097,277970,280629,297121,257732,277576,298107,290514,298574,312983,374282,381301,412306,329627,345830,355479,366368,379094,409156,434468,447590,554032,643057,556187,504027,488085,422839,315522,213260,-151502,-133214,-64051,-27888,-17946,-52180,-55865,-71569,-83767,-23170,-50344,-71629,-90221,-97466,-209863,-333391,-361543,-411824,-351064,-269880,-258604,-280928,-292942,-272724,-258450,-303255,-268468,-214270,-254822,-223936,-319862,-302421,-218387,-195779,-224027,-285682,-271748,-236466,-233727,-242690,-262323,-276950,-266616,-245123,-387656,-312364,-294267,-289858,-245246,-270138,-308784,-301193,-329536,-301355,-265434,-386841,-379253,-376656,-396185,-395310,-389096,-409933
"Security brokers and dealers; equity and investment fund shares excluding mutual fund shares and money market fund shares; liability (IMA)","Currency","1000000","USD",Z1/Z1/FL663181105.Q,FL663181105.Q,257,ND,ND,ND,279,ND,ND,ND,244,ND,ND,ND,239,ND,ND,ND,246,ND,ND,ND,230,ND,ND,ND,227,223,224,227,222,227,239,246,249,244,239,235,254,267,266,275,295,294,301,309,305,306,306,321,327,346,331,348,403,431,452,504,622,661,710,792,936,958,917,1018,1286,1322,1027,1301,1427,1331,1291,1220,1190,1143,1049,1185,1049,1064,937,940,969,1014,1282,1085,1125,1297,1303,1400,1500,1341,1735,1712,1579,1046,784,725,634,782,496,563,664,759,698,4024,3831,4948,4036,3519,2326,2912,2830,4139,4007,4394,4436,4807,5316,6211,6612,6739,7503,8380,8535,8471,8920,8440,8862,8948,8769,9039,9134,9617,9503,10027,10715,11211,11365,10613,20478,21904,22547,22608,24939,28202,19001,19257,21169,22182,24827,27430,29578,28402,30559,31311,30462,32875,33596,36840,38857,44330,49346,53849,63671,58779,58123,63105,61134,60841,57016,62818,64281,67605,67087,70193,71973,73986,69647,70600,73540,68983,65504,72109,75378,81545,90638,96428,97904,105714,113709,134495,144953,160004,168308,175965,176156,180301,171339,188854,197748,213599,212218,235431,245529,258809,300950,320522,346870,382673,410883,450967,470905,418344,496130,582533,646666,605730,714420,771833,728355,782300,772528,747350,780603,717188,745310,761914,712344,675981,678744,689299,729155,751280,803394,841638,826027,827288,902074,922315,937449,957100,1013666,1059237,1065111,1074374,1148560,1165285,1195699,1168569,1149729,1067820,1054713,932373,877423,449809,451461,450548,411551,443045,435921,414828,431637,441818,450206,453423,428921,548267,557517,760891,808220,841206,870130,890937,969896,977987,949900,932759,938066,943124,970748,988671,749920,758703,732397,660803,646533,589347,598451,596050,601711,627347,610647,620879,596305,606460,637912,667381,689043,662281,708932,727628,775377,803782,852148,893621,908427,865591,838018,865985,905019,913860,930442,914103,938968,966192,979923
"Security brokers and dealers; corporate equities; liability","Currency","1000000","USD",Z1/Z1/LM663164105.Q,LM663164105.Q,121,ND,ND,ND,141,ND,ND,ND,104,ND,ND,ND,100,ND,ND,ND,104,ND,ND,ND,94,ND,ND,ND,93,87,87,88,81,83,91,95,106,97,89,82,90,100,95,100,116,111,115,121,128,125,122,134,139,158,143,160,216,245,265,315,432,468,511,586,738,755,712,812,1058,1090,792,1064,1220,1121,1082,1013,971,926,830,964,812,826,706,717,746,797,1059,856,927,1096,1105,1206,1299,1143,1535,1504,1377,843,578,516,478,626,342,411,530,621,554,3875,3653,4766,3852,3332,2100,1264,866,1224,802,746,534,428,557,967,1099,915,835,1788,1643,1409,1375,1018,1049,917,871,831,1011,1231,946,1153,1177,1349,1284,1179,1750,2446,2950,3061,2450,2230,2608,2142,1944,2501,3803,5179,6394,4737,5040,3740,3330,3953,3729,4503,5025,4540,6763,10424,9921,9331,10953,13100,11084,11533,7573,9161,9180,8449,8131,8822,9792,10539,9363,9080,9304,6662,6737,10536,11559,13980,18202,17893,16239,16780,20111,29157,30006,36563,32738,29614,29478,27634,28971,34550,39507,45613,38739,46500,46021,50010,63517,65630,84409,105105,105876,121700,134838,76884,117259,162549,216702,172087,230839,287230,232469,278014,256862,208147,235755,180138,217409,217098,173474,145363,161068,158344,192677,212066,241790,253949,234635,227699,261255,269410,263347,288677,312288,369158,360500,355307,395225,405644,422325,367144,354920,284009,271835,158892,93916,62709,83656,102594,100282,104258,85802,91672,109910,117404,109374,79770,82780,51823,45979,44858,47889,54070,57044,60849,96715,99158,97616,103067,109764,112815,111841,93380,94946,91356,92166,96762,101208,98360,114943,125039,128187,132117,126819,120281,103274,109644,115151,117365,128285,93742,127335,129869,139732,139380,149484,175901,166493,136190,110982,105278,115456,125313,121128,119062,130839,146843,154807
"Security brokers and dealers; foreign direct investment in U.S.: equity, adjusted for U.S. Intermediate Holding Companies; liability (market value)","Currency","1000000","USD",Z1/Z1/LM663192103.Q,LM663192103.Q,136,ND,ND,ND,138,ND,ND,ND,140,ND,ND,ND,139,ND,ND,ND,142,ND,ND,ND,136,ND,ND,ND,134,136,137,139,141,144,148,151,143,147,150,153,164,167,171,175,179,183,186,188,177,181,184,187,188,188,188,188,187,186,187,189,190,193,199,206,198,203,205,206,228,232,235,237,207,210,209,207,219,217,219,221,237,238,231,223,223,217,223,229,198,201,198,194,201,198,200,208,202,203,206,209,156,156,154,152,134,138,144,149,178,182,184,187,226,206,193,187,202,189,240,290,413,425,437,449,463,465,499,533,603,647,694,742,777,784,794,794,782,718,785,852,1019,1055,1088,1343,703,652,694,741,851,411,518,672,945,1056,1090,1132,1358,1541,1621,1652,2043,1848,1819,1825,2540,2610,2644,2700,2540,3411,3870,4009,2066,2606,1305,2655,3383,2942,3249,3234,5400,5437,5550,5619,2882,3970,4225,4514,5614,5799,5910,5956,5320,8725,12050,15352,24621,24879,25072,25250,13855,14358,14745,15163,21856,22499,23191,23930,29483,30608,31719,33004,51271,50901,50672,50428,62764,63740,62449,62587,83352,83895,84690,84173,87121,87495,89002,90407,75597,74634,75249,74920,36212,37309,37886,38379,46656,45026,43784,44397,57503,56807,56041,55253,53942,54333,55413,60703,69874,74689,78162,77580,71348,62787,59384,65948,49201,38404,44769,50186,54257,66886,58815,66658,87143,96804,101754,90211,97657,107465,102186,108738,113195,127972,134163,144920,162667,169722,181500,183421,200841,200234,203948,187698,203670,210141,215290,82423,99302,92367,104136,107309,134005,122741,121388,124665,94712,133458,156757,177868,216977,147593,213320,247352,300971,320868,364567,377537,428354,401356,321038,292044,334148,353169,391285,365642,423295,474607,493541
