Quarter,portfolio_id,returns,asset_class,asset_id,psi_t,phi_t,cay_t,T_Bill_Rate,RREL_t,consumption_growth,avg_excess_return
1980 Q4,ME3 BM3,1.1096587674920304,equity,size_bm,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.026474565841303033
1980 Q4,ME3 BM4,1.1120688970058814,equity,size_bm,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.024064436327452032
1980 Q4,ME3 BM5,1.1135565841148765,equity,size_bm,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.022576749218456982
1980 Q4,ME4 BM1,1.0333183497373783,equity,size_bm,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.10281498359595509
1980 Q4,ME4 BM2,1.0570983353104986,equity,size_bm,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.07903499802283487
1980 Q4,ME4 BM3,1.131706063921453,equity,size_bm,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.004427269411880541
1980 Q4,ME4 BM4,1.0936931967598147,equity,size_bm,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.04244013657351875
1980 Q4,ME4 BM5,1.133839936568638,equity,size_bm,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.002293396764695421
1980 Q4,BIG LoBM,0.9978498770169543,equity,size_bm,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.13828345631637917
1980 Q4,ME5 BM2,0.9757429847231569,equity,size_bm,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.16039034861017654
1980 Q4,ME5 BM3,0.9337538996715937,equity,size_bm,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.20237943366173972
1980 Q4,ME5 BM4,1.066932398102911,equity,size_bm,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.06920093523042237
1980 Q4,BIG HiBM,1.0963716129762398,equity,size_bm,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.03976172035709369
1980 Q4,SMALL LoINV,1.090867273167833,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.04526606016550039
1980 Q4,ME1 INV2,1.0942468213197256,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.041886512013607824
1980 Q4,ME1 INV3,1.1176643831247877,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.018468950208545776
1980 Q4,ME1 INV4,1.094117723036392,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.04201561029694134
1980 Q4,SMALL HiINV,1.0341423978444224,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.10199093548891103
1980 Q4,ME2 INV1,1.0908127894830597,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.04532054385027373
1980 Q4,ME2 INV2,1.1281404773809798,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.007992855952353661
1980 Q4,ME2 INV3,1.0897203571232434,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.046412976210089996
